code,volume
JP.2557,240
JP.2558,209693
JP.2559,218177
JP.255A,35100
JP.2560,0
JP.2561,25207
JP.2562,1609
JP.2563,956580
JP.2564,16166
JP.2565,317704
JP.2566,103733
JP.2567,18350
JP.2568,17095
JP.2569,11552
JP.256A,229400
JP.2573,5700
JP.2579,320800
JP.257A,65
JP.2585,619100
JP.2586,1744100
JP.2587,373100
JP.2588,6200
JP.258A,28
JP.2590,40100
JP.2593,164700
JP.25935,22800
JP.2594,80200
JP.2597,12100
JP.2602,185900
JP.2607,159900
JP.2612,320700
JP.2613,57200
JP.261A,28700
JP.2620,999600
JP.2621,1265199
JP.2622,1079
JP.2623,1710
JP.2624,8979
JP.2625,725
JP.2626,662
JP.2627,26
JP.2628,59036
JP.2629,78566
JP.262A,99800
JP.2630,2636
JP.2631,24991
JP.2632,77626
JP.2633,112260
JP.2634,9164
JP.2636,100
JP.2637,3922
JP.2638,30918
JP.2639,210
JP.2640,10103
JP.2641,11534
JP.2642,1
JP.2643,0
JP.2644,626042
JP.2645,100
JP.2646,2481
JP.2647,1273
JP.2648,40851
JP.2649,220
JP.264A,116100
JP.2652,286300
JP.2653,10100
JP.2654,15300
JP.2656,139100
JP.2659,192000
JP.265A,97000
JP.2664,40900
JP.2666,84700
JP.2667,176600
JP.2668,800
JP.2669,3000
JP.2670,332800
JP.2673,25200
JP.2674,43900
JP.2676,14200
JP.2678,424900
JP.2681,149900
JP.2683,2500
JP.2685,140500
JP.2687,12300
JP.2689,1900
JP.268A,1591100
JP.2693,24600
JP.2694,316600
JP.2695,266000
JP.2698,9900
JP.269A,29700
JP.2700,19500
JP.2702,566500
JP.2705,14200
JP.2708,1200
JP.2721,51400
JP.2722,5700
JP.2726,411000
JP.2730,216300
JP.2733,289700
JP.2734,112400
JP.2735,36500
JP.2736,2000
JP.2737,138900
JP.273A,132
JP.2742,26200
JP.2747,1000
JP.2749,533900
JP.274A,7700
JP.2750,12300
JP.2751,22600
JP.2752,49500
JP.2753,26900
JP.2760,267900
JP.2762,114300
JP.2764,147200
JP.2767,446400
JP.2768,1105300
JP.2769,3800
JP.276A,31700
JP.2776,83000
JP.2778,19100
JP.277A,69800
JP.2780,38800
JP.2782,201600
JP.2784,391900
JP.2788,121700
JP.2789,7300
JP.278A,1711700
JP.2790,6600
JP.2791,41900
JP.2792,53400
JP.2795,500
JP.2796,13600
JP.2798,1700
JP.2801,2013300
JP.2802,2126200
JP.2804,14200
JP.2805,94600
JP.2806,600
JP.2809,422700
JP.280A,28300
JP.2810,213400
JP.2811,212100
JP.2813,1000
JP.2814,10000
JP.2815,75000
JP.2816,7000
JP.2818,3600
JP.2819,12200
JP.281A,41100
JP.2820,9700
JP.282A,139068
JP.2831,3500
JP.2836,32
JP.2837,1726
JP.2838,118
JP.2839,80343
JP.283A,625
JP.2840,160188
JP.2841,10040
JP.2842,8430
JP.2843,3497
JP.2844,1679
JP.2845,34730
JP.2846,99645
JP.2847,319
JP.2848,55
JP.2849,165
JP.2851,1350
JP.2852,12800
JP.2853,40
JP.2854,32561
JP.2855,2753
JP.2856,211640
JP.2857,200
JP.2858,1366
JP.2859,945
JP.285A,26463800
JP.2860,143
JP.2861,276
JP.2862,2
JP.2864,48
JP.2865,525865
JP.2866,36555
JP.2867,150
JP.2868,47978
JP.2869,575631
JP.286A,39100
JP.2870,40985
JP.2871,614800
JP.2872,1400
JP.2874,249900
JP.2875,336500
JP.2876,4100
JP.2877,6700
JP.287A,321500
JP.2882,14400
JP.2883,13100
JP.2884,39300
JP.288A,42600
JP.2892,8700
JP.2894,11800
JP.2897,772500
JP.2901,59500
JP.2903,1700
JP.2904,2800
JP.2907,4900
JP.2908,28400
JP.290A,1409400
JP.2910,36500
JP.2911,1500
JP.2914,3295300
JP.2915,20200
JP.2916,4000
JP.2917,11500
JP.2918,74000
JP.291A,2100
JP.2922,15200
JP.2923,3700
JP.2924,2600
JP.2926,497000
JP.2927,18400
JP.2929,399200
JP.2930,205100
JP.2931,383700
JP.2932,9300
JP.2933,109100
JP.2934,3400
JP.2935,20400
JP.2936,52000
JP.2937,4700
JP.2938,38700
JP.294A,501
JP.295A,8
JP.2961,2600
JP.2962,812900
JP.296A,75300
JP.2970,6300
JP.2971,688
JP.2972,1599
JP.2975,229800
JP.2978,10300
JP.2979,4816
JP.297A,27500
JP.2980,230500
JP.2981,4100
JP.2982,254000
JP.2983,33000
JP.2984,28600
JP.2986,90800
JP.2989,6649
JP.298A,11600
JP.2991,20700
JP.2993,2300
JP.2997,2100
JP.2998,128800
JP.2999,18700
JP.299A,77100
JP.3001,39800
JP.3002,170400
JP.3003,1283000
JP.3004,7100
JP.300A,18300
JP.3010,94400
JP.3011,6800
JP.3020,700
JP.3021,9300
JP.3023,15300
JP.3024,2100
JP.3028,58800
JP.302A,34000
JP.3030,26600
JP.3031,128000
JP.3034,75300
JP.3035,9900
JP.3036,70100
JP.3038,1488100
JP.303A,8400
JP.3040,168800
JP.3041,3900
JP.3042,21800
JP.3045,900
JP.3046,98000
JP.3048,455600
JP.304A,2700
JP.3050,136700
JP.3053,247100
JP.3054,24700
JP.3058,1500
JP.3059,2700
JP.3063,18700
JP.3064,1455300
JP.3065,700
JP.3067,52900
JP.3068,1100
JP.3069,143200
JP.3070,3776000
JP.3071,24100
JP.3075,27800
JP.3076,107400
JP.3077,18300
JP.3080,10900
JP.3082,12300
JP.3083,228000
JP.3086,484300
JP.3087,86100
JP.3088,1542900
JP.3089,18800
JP.3091,53300
JP.3092,2220300
JP.3093,140000
JP.3096,7100
JP.3097,143600
JP.3099,1527000
JP.3101,295100
JP.3103,3786800
JP.3104,67300
JP.3105,781400
JP.3106,32900
JP.3107,265700
JP.3109,41000
JP.3110,3475700
JP.3111,34100
JP.3113,50600
JP.3116,393500
JP.3121,24600
JP.3123,500
JP.3131,61800
JP.3132,1061400
JP.3133,1571200
JP.3134,26600
JP.3135,52200
JP.3137,28800
JP.3138,4600
JP.3139,16100
JP.313A,108360
JP.3140,5000
JP.3143,3600
JP.3486,66700
JP.3487,1016
JP.3488,606
JP.3489,67300
JP.348A,21640
JP.3490,3000
JP.3491,272500
JP.3492,5999
JP.3494,16300
JP.3495,100
JP.3496,61400
JP.3498,330200
JP.349A,700
JP.3501,11100
JP.350A,425200
JP.3512,33200
JP.3513,7700
JP.3521,17000
